Temperature,Relative Humidity,Pressure,Wind speed,Rainfall,Elevation,Azimuth,Clear sky GHI,Date_UnixTimeStamp,TimeSunRise_UnixTimeStamp,TimeSunSet_UnixTimeStamp,SunTime
286.13,67.66,942.53,2.35,0,-0.15426802,1.944338705,0,1483212600,1483233600,1483273560,39960
285.8,69.28,943.32,2.55,0,0.073261889,2.023449751,0,1483216200,1483233600,1483273560,39960
288.17,67.96,944.19,2.39,0,0.29074024,2.128850307,0,1483219800,1483233600,1483273560,39960
291.74,50.55,944.9,3.34,0,0.491784602,2.272665394,0,1483223400,1483233600,1483273560,39960
295.24,43.57,945.12,2.89,0,0.665144967,2.473004798,0,1483227000,1483233600,1483273560,39960
298.92,33.39,944.75,2.13,0,0.791923491,2.748464553,9.817,1483230600,1483233600,1483273560,39960
300.4,30.35,943.94,1.31,0,0.847089971,3.093048417,141.7463,1483234200,1483233600,1483273560,39960
301.14,29.21,942.97,0.55,0,0.814757476,3.448163771,351.3515,1483237800,1483233600,1483273560,39960
301.49,28.6,942.06,0.57,0,0.704688393,3.74473667,544.528,1483241400,1483233600,1483273560,39960
301.33,28.63,941.44,0.81,0,0.541590958,3.963782703,685.9952,1483245000,1483233600,1483273560,39960
300.72,29.8,941.3,0.94,0,0.346576363,4.120804876,759.355,1483248600,1483233600,1483273560,39960
299.19,38.84,941.61,0.95,0,0.13269994,4.235139881,758.1786,1483252200,1483233600,1483273560,39960
296.22,47.55,942.15,1.26,0,-0.092615339,4.320531781,683.1102,1483255800,1483233600,1483273560,39960
294.68,48.05,942.85,1.5,0,-0.325086902,4.385218093,540.4376,1483259400,1483233600,1483273560,39960
293.5,50.85,943.45,1.58,0,-0.56209385,4.433113939,346.76,1483263000,1483233600,1483273560,39960
292.4,53.38,943.73,1.62,0,-0.801845568,4.463547687,138.3253,1483266600,1483233600,1483273560,39960
291.41,55.58,943.71,1.64,0,-1.042741662,4.466207803,9.48,1483270200,1483233600,1483273560,39960
290.44,57.9,943.58,1.7,0,-1.28175075,4.386939579,0,1483273800,1483233600,1483273560,39960
289.54,60,943.39,1.82,0,-1.485552247,3.54067813,0,1483277400,1483233600,1483273560,39960
288.7,61.85,943.32,1.98,0,-1.345664782,1.964294108,0,1483281000,1483233600,1483273560,39960
287.95,63.27,943.1,2.11,0,-1.108813255,1.824969495,0,1483284600,1483233600,1483273560,39960
287.31,64.35,942.81,2.19,0,-0.867943148,1.814685779,0,1483288200,1483233600,1483273560,39960
286.8,64.81,942.67,2.24,0,-0.627660099,1.839190937,0,1483291800,1483233600,1483273560,39960
286.35,64.87,942.77,2.3,0,-0.389676107,1.882550497,0,1483209000,1483233600,1483273560,39960
285.91,64.97,943.22,2.41,0,-0.155656292,1.942336874,0,1483299000,1483320060,1483359960,39900
285.53,65.27,943.91,2.53,0,0.072079416,2.021333652,0,1483302600,1483320060,1483359960,39900
288.39,61.62,944.65,2.34,0,0.289826157,2.126509529,0,1483306200,1483320060,1483359960,39900
292.16,42.15,945.38,3.06,0,0.491238041,2.269985865,0,1483309800,1483320060,1483359960,39900
295.88,35.64,945.85,2.78,0,0.665113971,2.469919908,0,1483313400,1483320060,1483359960,39900
299.49,27.68,945.63,2.33,0,0.792586,2.745134885,10.1345,1483317000,1483320060,1483359960,39900
300.77,26.34,944.94,1.86,0,0.848531115,3.090085543,147.2621,1483320600,1483320060,1483359960,39900
301.46,25.54,944.04,1.81,0,0.816810522,3.446251001,362.8026,1483324200,1483320060,1483359960,39900
301.78,24.99,943.1,1.94,0,0.707046399,3.743919705,558.7693,1483327800,1483320060,1483359960,39900
301.55,24.94,942.51,2.08,0,0.544031608,3.963713289,702.2379,1483331400,1483320060,1483359960,39900
300.75,27.02,942.47,2.09,0,0.348993711,4.121188833,776.9835,1483335000,1483320060,1483359960,39900
298.76,38.5,942.75,1.7,0,0.135051504,4.235822466,776.9075,1483338600,1483320060,1483359960,39900
